,id,carat,cut,color,clarity,depth,table,x,y,z,price
14026,14026,0.73,Ideal,E,VS2,62.6,57.0,5.75,5.81,3.63,2891
549,549,0.31,Ideal,G,IF,62.1,54.0,4.38,4.4,2.73,863
11892,11892,0.8,Premium,E,SI1,62.1,58.0,5.97,5.92,3.68,3095
4981,4981,1.52,Very Good,G,VS2,62.2,59.0,7.31,7.34,4.56,13508
3574,3574,0.8,Very Good,E,SI2,62.2,58.0,5.92,5.95,3.7,2883
6489,6489,0.3,Ideal,F,IF,61.9,57.0,4.28,4.31,2.66,886
4352,4352,0.3,Premium,E,SI1,62.2,58.0,4.3,4.27,2.67,552
6392,6392,2.07,Ideal,I,SI1,62.2,57.0,8.12,8.16,5.04,18236
2648,2648,1.01,Premium,G,VS1,62.5,58.0,6.38,6.37,3.99,6499
2586,2586,0.3,Ideal,G,VVS1,61.7,55.0,4.32,4.34,2.67,752
5478,5478,1.02,Ideal,F,SI2,62.5,57.0,6.41,6.38,4.0,3763
3160,3160,0.37,Ideal,E,SI1,61.6,54.0,4.63,4.66,2.86,851
6700,6700,0.32,Very Good,D,SI2,60.9,55.0,4.41,4.43,2.68,568
3182,3182,0.34,Ideal,G,SI1,60.4,57.0,4.54,4.57,2.75,507
3480,3480,0.35,Ideal,E,VS2,61.6,57.0,4.5,4.52,2.78,983
2377,2377,0.32,Very Good,D,SI1,63.2,56.0,4.41,4.38,2.77,756
7535,7535,1.05,Ideal,E,VVS2,61.1,56.0,6.55,6.59,4.02,10368
6494,6494,0.4,Premium,D,VS1,60.5,60.0,4.76,4.79,2.89,1123
10354,10354,0.3,Ideal,F,VVS1,62.1,54.0,4.31,4.34,2.68,1114
7700,7700,0.33,Ideal,D,VS2,62.3,56.0,4.41,4.45,2.76,781
9672,9672,0.35,Ideal,G,VS2,62.1,55.0,4.55,4.58,2.83,607
8813,8813,1.04,Premium,H,SI1,61.4,58.0,6.53,6.5,3.99,5062
5955,5955,0.91,Premium,E,SI1,61.9,60.0,6.3,6.22,3.86,4284
11710,11710,1.32,Premium,G,SI2,61.6,58.0,7.06,7.02,4.32,6098
13127,13127,0.35,Ideal,H,VVS2,61.4,57.0,4.56,4.59,2.81,706
11647,11647,1.01,Good,E,SI1,63.4,60.0,6.39,6.33,4.04,5285
10256,10256,0.3,Ideal,E,VVS1,61.8,56.0,4.27,4.32,2.65,954
5066,5066,0.72,Ideal,G,SI1,62.1,57.0,5.74,5.77,3.57,2423
7653,7653,0.72,Ideal,G,SI2,62.0,56.0,5.77,5.72,3.56,2363
9034,9034,0.52,Ideal,E,VS1,61.8,55.0,5.15,5.18,3.19,1724
6861,6861,1.55,Premium,G,VS2,60.5,58.0,7.49,7.46,4.52,12951
11262,11262,2.03,Premium,G,SI1,61.2,61.0,8.24,8.17,5.02,18318
12239,12239,0.55,Ideal,I,VS2,61.1,56.0,5.28,5.3,3.23,1427
9385,9385,0.25,Premium,E,VVS2,62.3,59.0,4.01,4.03,2.5,526
